x_m,y_m,throttle,heading_rad
9.354098553713092734e-01,2.134480065259095394e+00,8.305135939118886146e-01,-3.043894663593215366e+00
9.394631326561566631e-01,2.084672280772318587e+00,8.380008965922024489e-01,-3.046586584718628643e+00
9.434361159739097502e-01,2.034859910281028306e+00,8.454218921380194374e-01,-3.049108010944232561e+00
9.473435626646992125e-01,1.985044670493382846e+00,8.527783115928329050e-01,-3.051467190351523140e+00
9.512006860568341660e-01,1.935222445182247730e+00,8.600718119668941952e-01,-3.053672367773346608e+00
9.550219540562843168e-01,1.885395442373684283e+00,8.673039805955639059e-01,-3.055731825928084344e+00
9.588195982944596185e-01,1.835568985588323265e+00,8.744763391732243152e-01,-3.057653920134860925e+00
9.626000570164182646e-01,1.785743731165229331e+00,8.815903474917915483e-01,-3.059446890130817387e+00
9.663640833919986406e-01,1.735916757804677690e+00,8.886474069098448947e-01,-3.061118969905106013e+00
9.701106354608339810e-01,1.686083415378561545e+00,8.956488635757235972e-01,-3.062678389885915564e+00
9.738375585253378208e-01,1.636250995459312962e+00,9.025960114255872080e-01,-3.064133405370975893e+00
9.775432661056480121e-01,1.586419367386091350e+00,9.094900949753507158e-01,-3.065492283832728759e+00
9.812261783903746259e-01,1.536588395576873545e+00,9.163323119235543546e-01,-3.066763197971740684e+00
9.848854235197543883e-01,1.486748355897465457e+00,9.231238155805859824e-01,-3.067954307398387037e+00
9.885187563194473004e-01,1.436908241287234267e+00,9.298657171382077591e-01,-3.069073791621471869e+00
9.921245760008150505e-01,1.387068455128996236e+00,9.365590877920341173e-01,-3.070129879288495900e+00
9.957013279467558098e-01,1.337228862008364771e+00,9.432049607284415105e-01,-3.071130738598537580e+00
9.992478726233277042e-01,1.287383558499475944e+00,9.498043329863444795e-01,-3.072084450337721151e+00
1.002762536897004786e+00,1.237534123629858485e+00,9.563581672033383274e-01,-3.072999154765347463e+00
1.006243487114804047e+00,1.187684595694366241e+00,9.628673932548666992e-01,-3.073883003330863950e+00
1.009689194298654336e+00,1.137834841361742733e+00,9.693329097943160777e-01,-3.074744212064343785e+00
1.013098255837183936e+00,1.087982965378980982e+00,9.757555857012601974e-01,-3.075590814819344487e+00
1.016469556822123810e+00,1.038122808960454835e+00,9.821362614444612005e-01,-3.076430927606733867e+00
1.019801041031765054e+00,9.882621891925719160e-01,9.884757503656813604e-01,-3.077272675270487312e+00
1.023091205176611451e+00,9.384009766145429143e-01,9.947748398898569322e-01,-3.078124269160329884e+00
1.026338552741708376e+00,8.885390371128789599e-01,1.000000000000000000e+00,-3.078993679547489926e+00
1.029542032755415670e+00,8.386693520637492627e-01,1.000000000000000000e+00,-3.079887856333698437e+00
1.032699842469645635e+00,7.887965593410855014e-01,1.000000000000000000e+00,-3.080810726551006518e+00
1.035810352912673427e+00,7.389228690932851951e-01,1.000000000000000000e+00,-3.081763274906865302e+00
1.038872092649997692e+00,6.890481527986697108e-01,1.000000000000000000e+00,-3.082745589746524573e+00
1.041883744288878866e+00,6.391698119705906400e-01,1.000000000000000000e+00,-3.083757440665769956e+00
1.044844055675887340e+00,5.892840669181602653e-01,1.000000000000000000e+00,-3.084798716473650337e+00
1.047751184259903878e+00,5.393971894487579188e-01,1.000000000000000000e+00,-3.085869308013364343e+00
1.050603682697774044e+00,4.895090581366395299e-01,1.000000000000000000e+00,-3.086969225348524581e+00
1.053400109699990761e+00,4.396195468438314213e-01,1.000000000000000000e+00,-3.088098284162315466e+00
1.056139372713004621e+00,3.897222125683634797e-01,1.000000000000000000e+00,-3.089256343811833894e+00
1.058819761494997236e+00,3.398217781122506720e-01,1.000000000000000000e+00,-3.090443304060131346e+00
1.061439750858585329e+00,2.899199408185034743e-01,1.000000000000000000e+00,-3.091659127721115397e+00
1.063997921551797843e+00,2.400165830419340729e-01,1.000000000000000000e+00,-3.092903746462139392e+00
1.066492951029703207e+00,1.901097301741651313e-01,1.000000000000000000e+00,-3.094176987470086626e+00
1.068923592218860019e+00,1.401957365525135224e-01,1.000000000000000000e+00,-3.095478754057835680e+00
1.071288148344836655e+00,9.028027688534995265e-02,1.000000000000000000e+00,-3.096808981929674687e+00
1.073585219985182748e+00,4.036324327868559547e-02,1.000000000000000000e+00,-3.098167669403396385e+00
1.075813412265249625e+00,-9.555477021439301444e-03,1.000000000000000000e+00,-3.099554663623046658e+00
1.077971525366483219e+00,-5.948048876059981033e-02,1.000000000000000000e+00,-3.100969860074859419e+00
1.080058037140656069e+00,-1.094090870161846391e-01,1.000000000000000000e+00,-3.102413189727715626e+00
1.082071470762122400e+00,-1.593392191580536854e-01,1.000000000000000000e+00,-3.103884677970858874e+00
1.084010447472253169e+00,-2.092709870347538581e-01,1.000000000000000000e+00,-3.105384211467502098e+00
1.085873611181410014e+00,-2.592050271526105676e-01,1.000000000000000000e+00,-3.106911694193518425e+00
1.087659741037879879e+00,-3.091458556468604790e-01,1.000000000000000000e+00,-3.108467069086592538e+00
1.089367259669461241e+00,-3.590880783315945624e-01,1.000000000000000000e+00,-3.110050326360286554e+00
1.090994800863044123e+00,-4.090317850654585641e-01,1.000000000000000000e+00,-3.111661481841641930e+00
1.092541000572606613e+00,-4.589770707161776042e-01,1.000000000000000000e+00,-3.113300390637917747e+00
1.094004558398093518e+00,-5.089262081550488537e-01,1.000000000000000000e+00,-3.114967026780014248e+00
1.095384095898809473e+00,-5.588790591348248293e-01,1.000000000000000000e+00,-3.116661370805756448e+00
1.096678177942717713e+00,-6.088331358952312478e-01,1.000000000000000000e+00,-3.118383505527977384e+00
1.097885447517482627e+00,-6.587885202703561704e-01,1.000000000000000000e+00,-3.120133339555726248e+00
1.099004548029209216e+00,-7.087452991880023312e-01,1.000000000000000000e+00,-3.121910793821013996e+00
1.100034175909514689e+00,-7.587062570449967236e-01,1.000000000000000000e+00,-3.123715910216245284e+00
1.100972908428793584e+00,-8.086686511541982814e-01,1.000000000000000000e+00,-3.125548730734396763e+00
1.101819378124262450e+00,-8.586319681868183062e-01,1.000000000000000000e+00,-3.127409335287516967e+00
1.102572228902480633e+00,-9.085962809552061703e-01,1.000000000000000000e+00,-3.129297595739836790e+00
1.103230107720985842e+00,-9.585620495360696047e-01,1.000000000000000000e+00,-3.131213534458538561e+00
1.103791661129789992e+00,-1.008530199480236478e+00,1.000000000000000000e+00,-3.133157235455835021e+00
