x_m,y_m,w_tr_right_m,w_tr_left_m
-2.517085255524126874e-01,-5.804151933180596856e+00,1.065773498403216113e+00,1.116100257151037445e+00
-2.829320825419051055e-01,-5.857137917052802401e+00,1.078005799772716600e+00,1.128391877062853377e+00
-3.143932165111101851e-01,-5.909438479315599402e+00,1.088576721624233690e+00,1.140044003797970440e+00
-3.460794410517679109e-01,-5.961018587456822004e+00,1.097110482244156415e+00,1.150829090809773581e+00
-3.779782697556200444e-01,-6.011843208964296359e+00,1.103283111068707578e+00,1.160558430496383853e+00
-4.100772162144061816e-01,-6.061877311325850393e+00,1.106845224510718761e+00,1.169099184924231594e+00
-4.423637940198682506e-01,-6.111085862029319138e+00,1.107639961147188767e+00,1.176384768679717974e+00
-4.748255167637460694e-01,-6.159433828562525193e+00,1.105613487868673195e+00,1.182416858452580488e+00
-5.074498980377806223e-01,-6.206886178413300037e+00,1.100816819006695813e+00,1.187259319067937025e+00
-5.402244514337127823e-01,-6.253407879069475150e+00,1.093402400992338208e+00,1.191025022783649412e+00
-5.731366905432833114e-01,-6.298963898018876684e+00,1.083615819081606535e+00,1.193859592981448170e+00
-6.061741289582325276e-01,-6.343519202749334340e+00,1.071783013892729564e+00,1.195923435566229598e+00
-6.393242802703018590e-01,-6.387038760748678712e+00,1.058295665398931718e+00,1.197376072700995886e+00
-6.725746580712316236e-01,-6.429487539504739502e+00,1.043590777741947306e+00,1.198363021105914417e+00
-7.059127759527625834e-01,-6.470830506505341972e+00,1.028128027836527458e+00,1.199009740401643320e+00
-7.393261475066352784e-01,-6.511032629238318492e+00,1.012361339615533096e+00,1.199415699573706640e+00
-7.728022863245909146e-01,-6.550058875191498764e+00,9.967109632044879319e-01,1.199656421665246997e+00
-8.063287059983699212e-01,-6.587874211852708939e+00,9.815348956597524932e-01,1.199782783182838930e+00
-8.398929201197128380e-01,-6.624443606709779608e+00,9.671068965793759853e-01,1.199825013732844337e+00
-8.734824422803607602e-01,-6.659732027250542252e+00,9.536043570147667570e-01,1.199792833562485450e+00
-9.070847860720543387e-01,-6.693704440962823021e+00,9.411064464982183964e-01,1.199677134572719961e+00
-9.406874650865345577e-01,-6.726325815334452507e+00,9.296042276174056873e-01,1.199449716782506670e+00
-9.742779929155418461e-01,-6.757561117853258637e+00,9.190182733797048753e-01,1.199059804958947373e+00
-1.007843883150816744e+00,-6.787375316007072890e+00,9.092225345280343651e-01,1.198431695051400903e+00
-1.041372649384100013e+00,-6.815733377283721417e+00,9.000681890143384933e-01,1.197460912023672330e+00
-1.074851805207132971e+00,-6.842600269171035698e+00,8.914053575849438804e-01,1.196016207690983935e+00
-1.108268864211655602e+00,-6.867940959156843661e+00,8.830977127446160146e-01,1.193938075363679907e+00
-1.141611339989409224e+00,-6.891720414728974120e+00,8.750331563590587614e-01,1.191047501047238111e+00
-1.174866746132134265e+00,-6.913903603375257667e+00,8.671260494469830160e-01,1.187153438425201157e+00
-1.208022596231571599e+00,-6.934455492583522229e+00,8.593175540594416573e-01,1.182069551088620551e+00
-1.241066403879461877e+00,-6.953341049841598398e+00,8.515710071940642001e-01,1.175629021336108249e+00
-1.273985682667545083e+00,-6.970525242637314101e+00,8.438674131439533044e-01,1.167702347653179373e+00
-1.306767946187563867e+00,-6.985973038458500817e+00,8.362012275417959328e-01,1.158212178346066157e+00
-1.339400708031257325e+00,-6.999649404792983809e+00,8.285755660881488627e-01,1.147142142617723071e+00
-1.371871481790366776e+00,-7.011519309128594557e+00,8.209997807726401309e-01,1.134540016725414491e+00
-1.404167781056632869e+00,-7.021547718953160988e+00,8.134869268903891504e-01,1.120512817504115244e+00
-1.436277119421796700e+00,-7.029699601754514582e+00,8.060511921519899481e-01,1.105216638880710089e+00
-1.468187010477598697e+00,-7.035939925020482377e+00,7.987053825464692780e-01,1.088841612431694417e+00
