x_m,y_m,throttle,heading_rad
9.369172567282868513e-01,-6.752513268264852542e-01,1.000000000000000000e+00,2.762491291803903515e-02
9.353360935790481223e-01,-6.253541656751436806e-01,1.000000000000000000e+00,2.891346306049880077e-02
9.336918381186578575e-01,-5.754567435354577265e-01,1.000000000000000000e+00,3.015042573122306280e-02
9.319870098953856319e-01,-5.255587344128244132e-01,1.000000000000000000e+00,3.133564358092710833e-02
9.302244920925174521e-01,-4.756699350630954060e-01,1.000000000000000000e+00,3.246922038301303104e-02
9.284065839460182712e-01,-4.257831302769251036e-01,1.000000000000000000e+00,3.355116560802451353e-02
9.265357326398100390e-01,-3.758957780522869108e-01,1.000000000000000000e+00,3.458145393931011391e-02
9.246144630559492983e-01,-3.260075110669758414e-01,1.000000000000000000e+00,3.555998355896528018e-02
9.226453025958213372e-01,-2.761179543569642347e-01,1.000000000000000000e+00,3.648667554647366806e-02
9.206313645457784300e-01,-2.262410008045967758e-01,1.000000000000000000e+00,3.736150358832035501e-02
9.185746864870771855e-01,-1.763634679612445244e-01,1.000000000000000000e+00,3.818441022078555847e-02
9.164777913300145018e-01,-1.264845391819144627e-01,1.000000000000000000e+00,3.895532172459503784e-02
9.143432233983906920e-01,-7.660380371993111281e-02,1.000000000000000000e+00,3.967405028287007696e-02
9.121736778192842676e-01,-2.672415790342998199e-02,1.000000000000000000e+00,4.034058654890060325e-02
9.099721840465245792e-01,2.314431609045254634e-02,1.000000000000000000e+00,4.095476017984078787e-02
9.077407545014092305e-01,7.301480053826131522e-02,1.000000000000000000e+00,4.151646616285198377e-02
9.054819588763836080e-01,1.228877374428589131e-01,1.000000000000000000e+00,4.202559280656958940e-02
9.031983746549151482e-01,1.727635744347763291e-01,1.000000000000000000e+00,4.248218700839090367e-02
9.008930354802275886e-01,2.226331206385633310e-01,1.000000000000000000e+00,4.288663782169388483e-02
8.985685645753490602e-01,2.724964586425128177e-01,1.000000000000000000e+00,4.323946775788689578e-02
8.962271531505305866e-01,3.223630031887868008e-01,1.000000000000000000e+00,4.354134852496338581e-02
8.938714139307265549e-01,3.722332277110393939e-01,1.000000000000000000e+00,4.379295236253488710e-02
8.915039700169593573e-01,4.221076104031797893e-01,1.000000000000000000e+00,4.399489424711844343e-02
8.891283750381437923e-01,4.719673635116717891e-01,1.000000000000000000e+00,4.414778665271956726e-02
8.867465041047100094e-01,5.218292169958260729e-01,1.000000000000000000e+00,4.425220682312280829e-02
