x_m,y_m,w_tr_right_m,w_tr_left_m
8.014371693452152501e-01,2.185391575700885269e+00,5.547554030622241505e-01,7.520573772140819457e-01
7.949016401623476558e-01,2.252228413210181746e+00,5.594167644289385066e-01,7.452275263510380610e-01
7.882692465605971588e-01,2.319189227023838118e+00,5.645354590980019571e-01,7.381200375898739896e-01
7.815423456501278121e-01,2.386275377676363441e+00,5.702076398112049249e-01,7.308400996689720097e-01
7.747232945411044458e-01,2.453488225702265879e+00,5.765311098224374931e-01,7.234713630378908356e-01
7.678144503436912238e-01,2.520829131636054932e+00,5.835986183226991031e-01,7.160708357948332159e-01
7.608181701680528652e-01,2.588299456012236544e+00,5.914891053930927400e-01,7.086672730233852802e-01
7.537368111243537561e-01,2.655900559365322433e+00,6.002579661168012670e-01,7.012655298356723632e-01
7.465727303227583933e-01,2.723633802229818990e+00,6.099271594438824273e-01,6.938530309778461191e-01
7.393282848734308299e-01,2.791500545140234824e+00,6.204766430863067894e-01,6.864112199988451346e-01
7.320058295496085776e-01,2.859502143377607108e+00,6.318384373776955165e-01,6.789302326957655787e-01
7.246039439355385081e-01,2.927631465504184405e+00,6.438947610179600600e-01,6.714255838227669582e-01
7.171097603977635293e-01,2.995855646451969889e+00,6.564810291166514045e-01,6.639536826506505784e-01
7.095082497798114174e-01,3.064136961995442832e+00,6.693939374486937988e-01,6.566245336777554176e-01
7.017843829252093935e-01,3.132437687909078949e+00,6.824037502226727447e-01,6.496136549770785695e-01
6.939231306774853447e-01,3.200720099967360177e+00,6.952697400669399785e-01,6.431647562807684126e-01
6.859094638801666033e-01,3.268946473944762676e+00,7.077561416746718237e-01,6.375877593616139372e-01
6.777283533767808343e-01,3.337079085615765273e+00,7.196473220758068390e-01,6.332511896190902156e-01
6.693647700108554810e-01,3.405080210754846348e+00,7.307597441163653507e-01,6.305680513682841992e-01
6.608036846259180974e-01,3.472912125136483397e+00,7.409492350705538799e-01,6.299760110517289569e-01
6.520300680654959047e-01,3.540537104535155688e+00,7.501143153422299426e-01,6.319147718510684797e-01
6.430288911731167900e-01,3.607917424725341604e+00,7.581952949532494435e-01,6.367926929488731957e-01
6.337851247923080855e-01,3.675015361481519527e+00,7.651710347873537099e-01,6.449801616013904892e-01
6.242837397665973453e-01,3.741793190578166506e+00,7.710545367193203381e-01,6.567589148049217673e-01
6.145097069395122347e-01,3.808213187789762699e+00,7.758884018193955567e-01,6.723274026306745865e-01
6.044479971545800856e-01,3.874237628890785157e+00,7.797415506555378517e-01,6.917917118519183450e-01
5.940835812553284523e-01,3.939828789655713592e+00,7.827058776387255667e-01,7.151782730199188753e-01
5.834014300852847779e-01,4.004948945859023723e+00,7.848941156674568154e-01,7.424635274713977662e-01
5.723865144879769495e-01,4.069560373275197485e+00,7.864356197794223347e-01,7.736185357169055310e-01
5.610238053069320774e-01,4.133625347678711037e+00,7.874738087788147878e-01,8.086612500938634707e-01
5.492982733856778266e-01,4.197106144844042319e+00,7.881591600514936680e-01,8.477039694781915991e-01
5.371948895677420843e-01,4.259965040545667492e+00,7.886431354278162775e-01,8.909806749680917459e-01
5.246986246966516276e-01,4.322164310558070710e+00,7.890702005901137905e-01,9.388396094132640535e-01
5.117944496159342327e-01,4.383666230655726359e+00,7.895718989177051839e-01,9.916910617293136498e-01
4.984673351691178422e-01,4.444433076613115041e+00,7.902604516701079440e-01,1.049905741950756255e+00
4.847022521997293998e-01,4.504427124204711141e+00,7.912230634315288169e-01,1.113681024770624139e+00
4.704841715512969591e-01,4.563610649204997927e+00,7.925190337205472169e-01,1.182902445505920719e+00
4.557980640673474637e-01,4.621945927388451558e+00,7.941771900917212745e-01,1.257008653771572337e+00
4.406289005914091339e-01,4.679395234529549974e+00,7.961945253175457538e-01,1.334909657168193098e+00
4.249616519670086912e-01,4.735920846402770223e+00,7.985376458450399451e-01,1.414984800834251155e+00
4.087812890376743002e-01,4.791485038782592909e+00,8.011455563328300222e-01,1.495160001956460816e+00
3.920727826469331823e-01,4.846050087443495968e+00,8.039357294652178521e-01,1.573060762169427251e+00
3.748211036383130024e-01,4.899578268159957339e+00,8.068114534560542062e-01,1.646215868981734998e+00
3.570112228553410372e-01,4.952031856706454960e+00,8.096703477186052433e-01,1.712272271496888765e+00
3.386281111415450629e-01,5.003373128857467655e+00,8.124149591365110723e-01,1.769181648711649846e+00
3.196567393404524671e-01,5.053564360387473364e+00,8.149586791985445888e-01,1.815332898452778121e+00
